2680364,99900,4795,22583,아우터
3613871,89800,501,11278,아우터
1596800,239000,1194,12679,아우터
2285078,83900,1627,22757,아우터
2683529,59400,5876,43936,아우터
3574911,399000,7,508,아우터
3566151,153300,184,5175,아우터
3391590,59900,3192,15853,아우터
3535181,266400,233,15685,아우터
3563185,119000,632,10227,아우터
2780254,263000,364,3249,아우터
3542762,89000,292,14356,아우터
3575358,73900,333,15894,아우터
3591215,153300,60,2659,아우터
2723772,109900,2492,26205,아우터
1582142,68310,1979,11129,아우터
1539383,169000,2100,14078,아우터
1558197,69590,38530,60964,아우터
1535337,95040,9205,41106,아우터
3632820,679000,0,6,아우터
3536069,129000,175,5323,아우터
2153567,279000,742,15124,아우터
3589084,155400,93,2415,아우터
3574963,319000,2,371,아우터
2116411,199900,4783,19060,아우터
3378515,69900,624,5991,아우터
1291017,69800,14439,81133,아우터
2684074,229080,606,8265,아우터
3591541,131400,33,2299,아우터
2834585,89900,1007,13460,아우터
3578975,299000,44,750,아우터
3660942,299000,21,2805,아우터
2108160,29900,23977,69858,아우터
2653637,89900,1035,12096,아우터
3578224,71400,370,12292,아우터
2238412,104100,2420,44827,아우터
3603337,268000,65,2063,아우터
3620743,266000,67,1690,아우터
3588988,265050,11,41,아우터
3602470,258000,25,2331,아우터
2854309,167200,248,7008,아우터
3641514,499000,17,106,아우터
3548423,128000,85,1638,아우터
3457986,490000,26,500,아우터
3536042,129000,73,2901,아우터
3536104,129000,47,5316,아우터
2744529,109900,1542,14841,아우터
2856262,458000,130,827,아우터
3194977,456000,1,225,아우터
3578659,139000,322,6161,아우터
2857065,210600,859,12423,아우터
3602104,79900,42,3741,아우터
3585227,99900,466,9249,아우터
3591542,131400,10,1442,아우터
2804419,199500,46,1741,아우터
2739130,74900,1338,24504,아우터
3508465,399000,3,200,아우터
3638684,398400,20,464,아우터
3579618,195300,3,168,아우터
2985378,68310,295,5297,아우터
2112061,36400,24021,71391,바지
1551840,35100,103142,222196,바지
2112059,36400,60015,204790,바지
1168906,33490,82331,102170,바지
3539080,29800,311,7155,바지
2092852,42000,20906,149913,바지
1551839,35100,32488,51826,바지
2861160,39900,6512,35971,바지
3223947,19800,2862,34300,바지
1735427,39900,4146,31407,바지
2164653,59800,365,3746,바지
750908,35900,94471,241243,바지
2183795,42000,5384,38553,바지
3223808,19800,1525,17583,바지
3438764,39000,1335,19354,바지
2909027,42500,1075,7580,바지
3548088,82600,838,2759,바지
1149329,39900,94844,98139,바지
3171863,48900,1213,27993,바지
1672471,72900,24026,58271,바지
1370101,39000,32292,112309,바지
3106260,46000,1403,16830,바지
1717388,37900,3405,9357,바지
2351467,39800,12235,58512,바지
3467190,27800,579,12271,바지
2863352,42000,1082,11889,바지
1552753,74100,30818,91151,바지
2092849,42000,12377,77437,바지
2578996,39900,9339,59009,바지
2479939,27600,2981,37158,바지
3467143,27800,1239,23032,바지
3440017,42000,1996,16722,바지
3043508,80100,2805,32019,바지
3684065,459000,0,0,바지
3461111,39800,600,11275,바지
1736085,43900,41708,90719,바지
2708877,39800,2676,26583,바지
2749153,66600,2179,32704,바지
